id,name,latitude,longitude
2692,Santo Domingo de Los Colorados Airport,-0.2482219934463501,-79.21440124511719
2694,Taura Airport,-2.261039972305298,-79.6801986694336
2695,Mayor Galo Torres Airport,-0.9867669939994812,-77.81950378417969
2696,Tarapoa Airport,-0.1229560002684593,-76.33779907226562
2697,Teniente Coronel Luis a Mantilla Airport,0.8095059990882874,-77.70809936523438
2699,Silvio Pettirossi International Airport,-25.239999771118164,-57.52000045776367
2700,Juan De Ayolas Airport,-27.370554,-56.854064
2701,Teniente Col Carmelo Peralta Airport,-23.442363,-57.427253
2702,Itaipú Airport,-25.407519,-54.619377
2703,Dr. Luis Maria Argaña International Airport,-22.049999237060547,-60.619998931884766
2704,Carlos Miguel Gimenez Airport,-26.881224,-58.318026
2705,El Eden Airport,4.45278,-75.7664
2706,Tres De Mayo Airport,0.505228,-76.5008
2707,Las Flores Airport,9.04554,-73.9749
2708,Palonegro Airport,7.1265,-73.1848
2709,El Dorado International Airport,4.70159,-74.1469
2710,Ernesto Cortissoz International Airport,10.8896,-74.7808
2711,José Celestino Mutis Airport,6.20292,-77.3947
2712,Gerardo Tobar López Airport,3.81963,-76.9898
2713,Camilo Daza International Airport,7.92757,-72.5115
2714,Rafael Nuñez International Airport,10.4424,-75.513
2715,Alfonso Bonilla Aragon International Airport,3.54322,-76.3816
2716,La Florida Airport,1.81442,-78.7492
2717,Las Brujas Airport,9.33274,-75.2856
2718,Yariguíes Airport,7.02433,-73.8068
2719,Gustavo Artunduaga Paredes Airport,1.58919,-75.5644
2720,Santiago Vila Airport,4.27624,-74.7967
2722,Juan Casiano Airport,2.57013,-77.8986
2723,Guaymaral Airport,4.81233,-74.0649
2724,Perales Airport,4.42161,-75.1333
2725,San Luis Airport,0.861925,-77.6718
2726,Antonio Roldan Betancourt Airport,7.81196,-76.7164
2727,Jorge Isaac Airport,11.2325,-72.4901
2728,Alfredo Vásquez Cobo International Airport,-4.19355,-69.9432
2729,Enrique Olaya Herrera Airport,6.220549,-75.590582
2730,Baracoa Airport,9.28474,-74.8461
2731,Los Garzones Airport,8.82374,-75.8258
2732,Fabio Alberto Leon Bentley Airport,1.25366,-70.2339
2733,La Nubia Airport,5.0296,-75.4647
2734,Benito Salas Airport,2.95015,-75.294
2735,Aguas Claras Airport,8.31506,-73.3583
2736,Otu Airport,7.01037,-74.7155
2737,Puerto Bolívar Airport,12.2215,-71.9848
2738,German Olano Airport,6.18472,-67.4932
2739,Matecaña International Airport,4.81267,-75.7395
2740,Pitalito Airport,1.85777,-76.0857
2741,Guillermo León Valencia Airport,2.4544,-76.6093
2742,Antonio Narino Airport,1.39625,-77.2915
2743,El Embrujo Airport,13.3569,-81.3583
2744,Mariquita Airport,5.21256,-74.8836
2745,Jose Maria Córdova International Airport,6.16454,-75.4231
2746,Almirante Padilla Airport,11.5262,-72.926
2747,Jorge E. Gonzalez Torres Airport,2.57969,-72.6394
2748,Simón Bolívar International Airport,11.1196,-74.2306
2749,Gustavo Rojas Pinilla International Airport,12.5836,-81.7112
2750,Eduardo Falla Solano Airport,2.15217,-74.7663
2751,Gustavo Vargas Airport,6.45108,-71.7603
2752,Santiago Perez Airport,7.06888,-70.7369
2753,El Caraño Airport,5.69076,-76.6412
2754,Heriberto Gíl Martínez Airport,4.08836,-76.2351
2755,Alfonso López Pumarejo Airport,10.435,-73.2495
2756,Vanguardia Airport,4.16787,-73.6138
2758,Bermejo Airport,-22.7733001709,-64.31289672850001
2759,Jorge Wilsterman International Airport,-17.421100616455078,-66.1771011352539
2760,Chimore Airport,-16.976834,-65.145568
2761,Capitán Aníbal Arab Airport,-11.040399551400002,-68.7829971313
2762,El Alto International Airport,-16.5132999420166,-68.19229888916016
2763,Juan Mendoza Airport,-17.962600708,-67.0762023926
2764,Capitan Nicolas Rojas Airport,-19.5431003571,-65.72370147710001
2765,Capitán Av. Salvador Ogaya G. airport,-18.975301,-57.820599
2766,Santa Ana Del Yacuma Airport,-13.7622003555,-65.4352035522
2767,Juana Azurduy De Padilla Airport,-19.007099151611328,-65.2886962890625
2768,Capitan Oriel Lea Plaza Airport,-21.5557003021,-64.7013015747
2769,Teniente Av. Jorge Henrich Arauz Airport,-14.8186998367,-64.9179992676
2770,Teniente Coronel Rafael Pabón Airport,-21.2551994324,-63.4056015015
2771,Viru Viru International Airport,-17.6448,-63.135399
2772,Yacuiba Airport,-21.960899353027344,-63.65169906616211
2773,Johan Adolf Pengel International Airport,5.4528298378,-55.1878013611
2774,Cayenne-Rochambeau Airport,4.819809913639999,-52.3604011536
2775,Saint-Georges-de-l'Oyapock Airport,3.89759993553,-51.8041000366
2776,Huancabamba Airport,-5.256770133972168,-79.44290161132812
2777,Alferez FAP Alfredo Vladimir Sara Bauer Airport,-2.79612994194,-76.46659851070001
2778,Teniente General Gerardo Pérez Pinedo Airport,-10.7291002274,-73.7665023804
2780,Iberia Airport,-11.41160011291504,-69.48870086669922
2781,Cap FAP David Abenzur Rengifo International Airport,-8.37794017791748,-74.57430267333984
2782,Teniente FAP Jaime A De Montreuil Morales Airport,-9.149609565734863,-78.5238037109375
2783,Puerto Esperanza Airport,-9.7681303024292,-70.70649719238281
2784,Cesar Torke Podesta Airport,-17.179000854492188,-70.93080139160156
2785,Capitan FAP Jose A Quinones Gonzales International Airport,-6.787479877471924,-79.8281021118164
2786,Coronel FAP Alfredo Mendivil Duarte Airport,-13.154800415039062,-74.20439910888672
2787,Andahuaylas Airport,-13.70639991760254,-73.35040283203125
2788,Comandante FAP German Arias Graziani Airport,-9.347439765930176,-77.59839630126953
2789,Jorge Chávez International Airport,-12.0219,-77.114305
2790,Juanjui Airport,-7.169099807739258,-76.72859954833984
2791,Francisco Carle Airport,-11.7831001282,-75.47339630130001
2792,Inca Manco Capac International Airport,-15.467100143432615,-70.158203125
2794,Ilo Airport,-17.69499969482422,-71.34400177001953
2795,Las Palmas Air Base,-12.16069984436,-76.998901367188
2796,Capitan FAP Pedro Canga Rodriguez Airport,-3.55253005027771,-80.38140106201172
2797,Moises Benzaquen Rengifo Airport,-5.893770217895508,-76.11820220947266
2799,Collique Airport,-11.92870044708252,-77.06109619140625
2800,Chachapoyas Airport,-6.201809883117676,-77.8561019897461
2801,Coronel FAP Francisco Secada Vignetta International Airport,-3.7847399711608887,-73.30879974365234
2802,Rodríguez Ballón International Airport,-16.3411006927,-71.5830993652
2803,Capitán FAP Leonardo Alvariño Herr Airport,-11.128600120544434,-75.35050201416016
2804,Capitan FAP Carlos Martinez De Pinillos International Airport,-8.08141040802002,-79.10880279541016
2805,Capitán FAP Renán Elías Olivera International Airport,-13.74489974975586,-76.22029876708984
2806,Cadete FAP Guillermo Del Castillo Paredes Airport,-6.508739948272705,-76.37319946289062
2807,Coronel FAP Carlos Ciriani Santa Rosa International Airport,-18.0533008575,-70.2758026123
2808,Padre Aldamiz International Airport,-12.6135997772,-69.2285995483
2809,Capitán FAP Guillermo Concha Iberico International Airport,-5.20574998856,-80.61640167239999
2810,Capitan Montes Airport,-4.5766401290894,-81.254096984863
2812,Alejandro Velasco Astete International Airport,-13.535699844400002,-71.9387969971
2813,Angel S Adami Airport,-34.7892,-56.264702
2814,Santa Bernardina International Airport,-33.3588981628418,-56.49919891357422
2816,Carrasco International /General C L Berisso Airport,-34.838402,-56.0308
2817,Nueva Hesperides International Airport,-31.438499450683597,-57.98529815673828
2818,Oswaldo Guevara Mujica Airport,9.553375244140623,-69.23786926269531
2819,Anaco Airport,9.430225372314451,-64.4707260131836
2820,San Fernando de Atabapo Airport,4.05104017258,-67.6996994019
2821,General José Antonio Anzoategui International Airport,10.111111,-64.692222
2822,Barinas Airport,8.615,-70.21416667
2823,El Libertador Airbase,10.1833753586,-67.55731964110001
2824,Barquisimeto International Airport,10.042746543884276,-69.3586196899414
2826,"Aeropuerto ""General Tomas de Heres"". Ciudad Bolivar",8.12216091156,-63.5369567871
2827,Caicara del Orinoco Airport,7.625510215759277,-66.16280364990234
2828,San Carlos Airport,9.647720336914062,-68.57469940185547
2829,Calabozo Airport,8.92465591430664,-67.4170913696289
2830,Canaima Airport,6.231988906860352,-62.85443115234375
2831,Carora Airport,10.175602912902832,-70.06521606445312
2832,General Francisco Bermúdez Airport,10.660014152526855,-63.261680603027344
2833,José Leonardo Chirinos Airport,11.41494369506836,-69.68090057373047
2834,Oscar Machado Zuluaga Airport,10.286110877990724,-66.81610870361328
2835,Cumaná (Antonio José de Sucre) Airport,10.450332641601562,-64.1304702758789
2836,Capitán Manuel Ríos Airbase,9.372650146484377,-66.92279815673828
2837,El Dorado Airport,6.733333110809326,-61.58333206176758
2838,Elorza Airport,7.083333015441895,-69.53333282470703
2839,Guasdalito Airport,7.233333110809326,-70.80000305175781
2840,Guiria Airport,10.5740776062,-62.3126678467
2841,Guanare Airport,9.026944160461426,-69.7551498413086
2842,Higuerote Airport,10.462474,-66.092779
2843,Andrés Miguel Salazar Marcano Airport,10.794432,-63.98159
2844,Josefa Camejo International Airport,11.78077507019043,-70.15149688720703
2845,San Juan de Los Morros Airport,9.906952857971191,-67.379638671875
2846,La Fria Airport,8.239167213439941,-72.27102661132812
2847,La Orchila Airport,11.80720043182373,-66.17960357666016
2848,La Chinita International Airport,10.5582084656,-71.7278594971
2849,Alberto Carnevalli Airport,8.582078,-71.161041
2850,Del Caribe Santiago Mariño International Airport,10.912603378295898,-63.96659851074219
2851,Simón Bolívar International Airport,10.601194,-66.991222
2852,Maturín Airport,9.75452995300293,-63.14739990234375
2853,Cacique Aramare Airport,5.6199898719788,-67.606101989746
2854,General Bartolome Salom International Airport,10.48050022125244,-68.072998046875
2855,Paramillo Airport,7.8013200759887695,-72.2029037475586
2856,General Manuel Carlos Piar International Airport,8.288530349731445,-62.760398864746094
2857,Palmarito Airport,7.566669940948486,-70.18329620361328
2858,San Antonio Del Tachira Airport,7.840829849243164,-72.439697265625
2859,Santa Bárbara de Barinas Airport,7.803514003753662,-71.16571807861328
2860,Santa Elena de Uairen Airport,4.554999828338623,-61.150001525878906
2861,Mayor Buenaventura Vivas International Airport,7.56538,-72.035103
2862,Sub Teniente Nestor Arias Airport,10.2787,-68.755203
2863,San Fernando De Apure Airport,7.883319854736328,-67.44400024414062
2864,San Tomé Airport,8.9451465606689,-64.151084899902
2865,Santa Bárbara del Zulia Airport,8.974550247192383,-71.94325256347656
2866,Tucupita Airport,9.088994026184082,-62.09417343139648
2867,Tumeremo Airport,7.24938,-61.52893
2868,Arturo Michelena International Airport,10.14973258972168,-67.92839813232422
2870,Dr. Antonio Nicolás Briceño Airport,9.34047794342041,-70.58406066894531
2871,Valle de La Pascua Airport,9.22202777863,-65.9935836792
2872,Linden Airport,5.96592,-58.270302
2873,Lethem Airport,3.37276,-59.789398
